location_id,index,KLADR,FIAS,OKATO,OKTMO,IFNS,timezone,latitude,longitude,population
1193,352380,2301200100000,a4f6512e-2ee9-4250-b241-b58504a886b4,03414000000,03618101001,2364,UTC+3,45.4332464,40.5727852,80743
1197,353180,2301500100000,76e1af12-0fae-42b0-8771-02191d803ad0,03221501000,03621101001,2373,UTC+3,45.4640868,39.4590178,41179
1201,353380,2301800100000,ae6c6804-3c18-4337-bb6e-7479a8cb64f6,03415000000,03625101001,2300,UTC+3,44.9344108,37.9855314,57370
1203,352430,2301900100000,2c58f372-aac8-4645-b41a-f39bdffef373,03227501000,03627101001,2300,UTC+3,44.8876442,40.5913858,47974
1206,352500,2302100100000,0ec1acd4-d7bb-49f7-87c2-d66edb24f587,03417000000,03630101001,2300,UTC+3,44.6353153,40.724385,62822
1210,352240,2302400100000,38dd5f45-0a56-4554-93d8-3edfcdf000dd,03234501000,03634101001,2372,UTC+3,45.1038782,41.0473679,34847
1215,353860,2302800100000,d9efcf77-c371-434d-a41e-f20e3b4c83c0,03241501000,03641101001,2369,UTC+3,46.0515,38.1704654,32253
1218,353560,2303000100000,06e2b3b8-c02c-4722-887f-168236ae5382,03423000000,03645101001,2370,UTC+3,45.2605079,38.1260725,63768
1220,353500,2303300100000,3d6724a2-9641-44e6-bc69-097d93c01cb9,03251501000,03651101001,2352,UTC+3,45.2611082,37.445519,38014
1224,352700,2303400100000,f09d518d-5617-476f-8c76-877899375202,03253501000,03653101001,2369,UTC+3,45.6159358,38.9350513,53921
1226,352120,2303500100000,1d3511c8-b1dc-49c5-b5fb-3533ed4ce3c4,03429000000,03654101001,2360,UTC+3,45.8546953,40.1258702,61825
1228,352800,2303600100000,d0e68eaf-5ea0-4e65-81b6-b6f55c4df6f5,03432000000,03655101001,2300,UTC+3,44.1103707,39.082645,63233
1230,352330,2303800100000,f5743b34-7858-46b4-99ca-050a4efa356d,03257501000,03657101001,2373,UTC+3,45.222676,39.6930239,43268
1233,400000,3400000100000,a52b7389-0cfe-46fb-ae15-298652a64cf8,18401000000,18701000001,3400,UTC+3,48.7072005,44.5170207,1021244
1234,404100,3400000200000,bc5ed788-84c8-493e-9598-7a15a9f1e4c1,18410000000,18710000001,3435,UTC+3,48.7978483,44.7462417,314436
1235,403870,3400000300000,0f9fb687-8d03-41a2-968f-033a2ba44f2f,18415000000,18715000001,3453,UTC+3,50.0651261,45.3843816,119924
1236,403340,3400000400000,f02dbf6d-57ad-49bc-8011-603bf7126bb5,18420000000,18720000001,3456,UTC+3,50.0708749,43.2400847,59153
1237,403110,3400000500000,2e5879fc-35c2-4354-816b-f1fce74ece87,18425000000,18725000001,3457,UTC+3,50.7904767,42.0288589,41594
1240,403530,3400000600000,57e3991f-e685-4ba2-9cef-9988e6fa5862,18428000000,18728000001,3456,UTC+3,49.7647809,43.6648936,39489
1244,404002,3400600100000,66a2c07f-45b1-47d2-ab51-fa16288d07a6,18208501000,18608101001,3455,UTC+3,49.0555342,44.8270813,14345
1247,403790,3400800100000,1f9bda6f-45a5-4bf5-b1d8-434d763ea834,18212501000,18612101001,3453,UTC+3,50.9767561,44.7857694,16890
1250,404500,3401000100000,acc6220a-f624-4880-84d8-670319b0e25d,18216501000,18616101001,3455,UTC+3,48.6887569,43.5306866,26892
1256,404350,3401400100000,ec52e094-acd0-49ab-bc84-9ce0aa80c7c0,18224501000,18624101001,3458,UTC+3,47.6310808,43.1331198,20441
1258,403801,3401500100000,6a9dded3-afcf-46ba-9881-5048c3bec5a3,18226501000,18626101001,3453,UTC+3,50.3205433,44.8031864,24104
1261,404620,3401700100000,bee1ee84-fdcf-45b2-8c87-7b015efc4332,18230501000,18630101001,3454,UTC+3,48.6936234,45.1992835,15527
1265,404030,3402000100000,8680a7a3-5c93-4c0d-ae64-d828306b2310,18236501000,18636101001,3454,UTC+3,50.0166952,45.4733204,15081
1267,403950,3402100100000,254f7c3a-fc21-4405-8779-eee0a7a5c63f,18238501000,18638101001,3457,UTC+3,50.5296873,42.6666038,17911
1271,404260,3402400100000,e6891ad3-e99a-48fa-93e5-805da20e849c,18245501000,18645101,3454,UTC+3,50.0501422,46.8803355,15984
1275,403441,3402700100000,fb921dd7-0b8e-42a6-a5bb-3d1387f090d0,18250501000,18650101001,3456,UTC+3,49.566286,42.7360013,9368
1277,404160,3402800200000,68e32d89-51bb-4030-b697-ceca53b9e740,18251507000,18651107001,3454,UTC+3,48.7068777,44.5631799,16007
1280,404410,3403000100000,b5bab4ba-e94f-4178-b6f7-67e01c89bec2,18253501000,18653101001,3458,UTC+3,48.6189756,42.8541308,20527
1285,344000,6100000100000,c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5,60401000000,60701000001,6100,UTC+3,47.2224364,39.7187866,1091544
1286,347360,6100000400000,1a453dcd-8885-4999-923b-1bbaa5a1cec4,60412000000,60712000001,6100,UTC+3,47.5165181,42.1984531,170621
1287,346880,6100000300000,3809afb6-fdfd-4115-9e55-236abf108c81,60407000000,60707000,6181,UTC+3,47.138321,39.7508382,112400
1288,347870,6100000500000,eef55456-4d89-4620-b361-d620221ad3a7,60415000000,60715000001,6191,UTC+3,48.0449422,39.9484635,67268
1289,346310,6100000700000,99f4120c-2af0-4c97-afbc-d17fdf350ba6,60418000000,60718000001,6191,UTC+3,48.043451,40.1264948,22416
1290,347800,6100000800000,76cb0cf6-49a5-4852-b45d-99e4ce12a7ea,60419000000,60719000001,6191,UTC+3,48.3204412,40.268874,95306
1291,346330,6100000600000,8eeb1bf2-9de9-46d5-874f-50344ca9128b,60417000000,60717000001,6191,UTC+3,48.3350928,39.9460654,50085
1292,346400,6100000900000,28bafcb3-92b2-445b-9443-a341be73fdb9,60427000000,60727000001,6183,UTC+3,47.4119248,40.1042066,169039
1293,346900,6100001000000,bce1a4f2-7576-4427-8bd8-8d8b4e35ad11,60430000000,60730000,6182,UTC+3,47.7576522,39.9364709,111087
1294,346500,6100001200000,dee2e80e-f2e1-4a68-93b0-b7b89b6f3e74,60440000000,60740000001,6182,UTC+3,47.7084247,40.2159154,240152
